state;term_length;bills_introduced
texas;4;18
texas;4;29
texas;4;41
texas;4;53
texas;4;60
texas;4;67
texas;4;75
texas;4;79
texas;4;79
texas;4;88
texas;4;93
texas;4;101
texas;4;103
texas;4;106
texas;4;107
texas;4;131
texas;2;29
texas;2;37
texas;2;42
texas;2;45
texas;2;45
texas;2;54
texas;2;54
texas;2;58
texas;2;61
texas;2;64
texas;2;69
texas;2;73
texas;2;75
texas;2;92
texas;2;104
arkansas;4;11
arkansas;4;15
arkansas;4;23
arkansas;4;24
arkansas;4;25
arkansas;4;26
arkansas;4;28
arkansas;4;31
arkansas;4;33
arkansas;4;34
arkansas;4;35
arkansas;4;35
arkansas;4;36
arkansas;4;38
arkansas;4;52
arkansas;4;59
arkansas;2;9
arkansas;2;10
arkansas;2;14
arkansas;2;15
arkansas;2;15
arkansas;2;17
arkansas;2;18
arkansas;2;19
arkansas;2;19
arkansas;2;20
arkansas;2;21
arkansas;2;23
arkansas;2;23
arkansas;2;24
arkansas;2;28
arkansas;2;30
arkansas;2;32
arkansas;2;34
arkansas;4;17
